NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,2.464272221000101,4,3,0,0,diagonal
2,0,1,0.26567546800015407,4,3,0,0,row
3,1,-1,2.9987984239996877,5,4,0,0,diagonal
4,1,-1,3.73468899099953,6,5,0,-,diagonal
5,1,0,-1,7,6,0,-,no
