NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,6.260037800995633,10,3,0,0,no
2,0,-1,1.1882938609996927,10,3,0,0,diagonal
