NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,1,0.4642247869996936,4,3,0,0,row
2,0,-1,0.34541013299985934,4,3,0,0,no
