NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,2.349598116999914,4,3,0,0,diagonal
2,0,-1,0.5364961790000962,4,3,0,0,diagonal
3,1,-1,0.9887799660000383,5,4,0,0,column
4,1,-1,0.36315856100009114,6,5,0,-,diagonal
5,1,-1,0.29238189500028966,7,6,0,-,diagonal
