NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,1,1.2987131029994998,4,3,0,0,row
2,0,-1,0.3127291900000273,4,3,0,0,column
