NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,5.428900708997389,10,3,0,0,column
2,0,-1,0.27910934000101406,10,3,0,0,no
