NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,2.3984708150001097,4,3,0,0,column
2,0,-1,0.2803263239993612,4,3,0,0,no
3,1,-1,4.562503989999641,5,4,0,0,column
4,1,1,1.0707136350001747,6,5,0,-,row
5,1,-1,1.3754668310002671,7,6,0,-,column
