NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,0.3536751510000613,4,3,0,0,column
2,0,-1,0.7761568500000067,4,3,0,0,diagonal
3,1,1,2.7897050390001823,5,4,0,0,row
4,1,-1,1.9179337440000381,6,5,0,-,no
5,1,-1,0.7449380019997989,7,6,0,-,diagonal
