NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,0.39377732499997364,4,3,0,0,column
2,0,1,0.5795400050001263,4,3,0,0,row
3,1,-1,0.22400681699991765,4,3,0,0,diagonal
4,1,-1,0.2586772849999761,4,3,0,-,diagonal
5,1,-1,0.23989201399990634,4,3,0,-,diagonal
