NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,-1,3.234959581000112,4,3,0,0,no
2,0,-1,0.8125024230002964,4,3,0,0,no
3,1,-1,1.8098137440001665,5,4,0,0,column
4,1,-1,1.9998354179997477,6,5,0,-,no
5,1,1,5.7749086550002175,7,6,0,-,row
